policy_year,cap,training_path_count,condition_number,reachable_component_clip_fraction,fit_action_retained,fit_reasons,selected_policy_class,uses_all_paths,oos
13,0.14,202,51.81004873487926,0.0011904761904761906,True,[],base_csm,True,False
13,0.15,205,36.5436762147759,0.0016666666666666668,True,[],base_csm,True,False
13,0.16,199,23.009779833495116,0.0014285714285714286,True,[],base_csm,True,False
13,0.17,199,35.21343892648602,0.0016666666666666668,True,[],base_csm,True,False
13,0.18,215,29.85436412429307,0.002857142857142857,True,[],base_csm,True,False
13,0.19,207,18.261287021450585,0.0014285714285714286,True,[],base_csm,True,False
13,0.2,187,25.24485256804102,0.0016666666666666668,True,[],base_csm,True,False
14,0.0025,201,14.014618142647915,0.0054761904761904765,True,[],base_csm,True,False
14,0.01,204,16.753602923510595,0.0011904761904761906,True,[],base_csm,True,False
14,0.02,207,9.795750822088463,0.0030952380952380953,True,[],base_csm,True,False
14,0.03,200,9.254900170411176,0.015714285714285715,True,[],base_csm,True,False
14,0.04,199,8.850711216981757,0.004523809523809524,True,[],base_csm,True,False
14,0.05,197,12.202192131954416,0.0035714285714285713,True,[],base_csm,True,False
14,0.06,197,8.409157332756562,0.0033333333333333335,True,[],base_csm,True,False
14,0.07,207,24.377684895792186,0.0016666666666666668,True,[],base_csm,True,False
14,0.08,203,15.229742649018194,0.004761904761904762,True,[],base_csm,True,False
14,0.09,205,25.353662373139706,0.0014285714285714286,True,[],base_csm,True,False
14,0.1,190,26.594912177350384,0.0016666666666666668,True,[],base_csm,True,False
14,0.11,196,41.54607768326959,0.002142857142857143,True,[],base_csm,True,False
14,0.12,195,54.90671987052153,0.002380952380952381,True,[],base_csm,True,False
14,0.13,215,16.403613188532532,0.0009523809523809524,True,[],base_csm,True,False
14,0.14,209,62.93754207018539,0.005238095238095238,True,[],base_csm,True,False
14,0.15,201,41.33712278089812,0.0019047619047619048,True,[],base_csm,True,False
14,0.16,196,33.78785764146052,0.002142857142857143,True,[],base_csm,True,False
14,0.17,202,43.69640457335561,0.007857142857142858,True,[],base_csm,True,False
14,0.18,182,40.383226571890795,0.0016666666666666668,True,[],base_csm,True,False
14,0.19,197,20.506288360675512,0.0014285714285714286,True,[],base_csm,True,False
14,0.2,197,21.952465229275976,0.0014285714285714286,True,[],base_csm,True,False
15,0.0025,196,15.862072781333245,0.004761904761904762,True,[],base_csm,True,False
15,0.01,188,12.203595229690812,0.005238095238095238,True,[],base_csm,True,False
15,0.02,210,8.589872296757092,0.011666666666666667,True,[],base_csm,True,False
15,0.03,203,10.488790894741953,0.0030952380952380953,True,[],base_csm,True,False
15,0.04,208,40.05834629802279,0.007857142857142858,True,[],base_csm,True,False
15,0.05,201,22.11779813614597,0.008095238095238095,True,[],base_csm,True,False
15,0.06,203,8.237935899389509,0.002142857142857143,True,[],base_csm,True,False
15,0.07,204,26.980412958488525,0.002619047619047619,True,[],base_csm,True,False
15,0.08,205,16.26562868159471,0.0011904761904761906,True,[],base_csm,True,False
15,0.09,195,22.806584249374485,0.0014285714285714286,True,[],base_csm,True,False
15,0.1,196,20.258258711677723,0.002142857142857143,True,[],base_csm,True,False
15,0.11,201,37.24197289378206,0.007142857142857143,True,[],base_csm,True,False
15,0.12,205,70.89973763610129,0.018095238095238095,True,[],base_csm,True,False
15,0.13,197,20.606972208880425,0.0004761904761904762,True,[],base_csm,True,False
15,0.14,190,63.845773725646964,0.017857142857142856,True,[],base_csm,True,False
15,0.15,197,51.72909066310719,0.02095238095238095,True,[],base_csm,True,False
15,0.16,196,29.065564171151873,0.0004761904761904762,True,[],base_csm,True,False
15,0.17,201,62.53026426582762,0.017380952380952382,True,[],base_csm,True,False
15,0.18,207,56.856600355543655,0.0011904761904761906,True,[],base_csm,True,False
15,0.19,201,16.49601476882804,0.0064285714285714285,True,[],base_csm,True,False
15,0.2,196,21.099840546007076,0.0004761904761904762,True,[],base_csm,True,False
16,0.0025,214,14.31088830616635,0.015476190476190477,True,[],base_csm,True,False
16,0.01,216,11.51367503287063,0.018571428571428572,True,[],base_csm,True,False
16,0.02,206,12.757728291150523,0.02666666666666667,True,[],base_csm,True,False
16,0.03,205,8.684073677035885,0.036904761904761905,True,[],base_csm,True,False
16,0.04,186,10.671559309095082,0.029285714285714286,True,[],base_csm,True,False
16,0.05,194,19.494317874704514,0.02214285714285714,True,[],base_csm,True,False
16,0.06,204,36.86028400913841,0.030714285714285715,True,[],base_csm,True,False
16,0.07,210,47.694051198154256,0.022857142857142857,True,[],base_csm,True,False
16,0.08,189,26.748564033998957,0.008809523809523809,True,[],base_csm,True,False
16,0.09,195,18.493027063981156,0.011666666666666667,True,[],base_csm,True,False
16,0.1,198,29.4685194925955,0.013571428571428571,True,[],base_csm,True,False
16,0.11,190,43.25346647203802,0.020476190476190478,True,[],base_csm,True,False
16,0.12,204,85.11196784410608,0.03571428571428571,True,[],base_csm,True,False
16,0.13,199,22.1756647809945,0.021904761904761906,True,[],base_csm,True,False
16,0.14,209,78.797748774706,0.03190476190476191,True,[],base_csm,True,False
