crediting_cap_rate,crediting_cap_rate_percent,method,risk_metric,source_field,unit,adverse_direction,value,baseline_rate,baseline_value,delta_vs_baseline,finite_difference_scheme,finite_difference_lower_cap_rate,finite_difference_upper_cap_rate,finite_difference_span_bp,finite_difference_change_per_100bp,finite_difference_change_per_100bp_percentage_points,finite_difference_change_per_100bp_as_percent_of_premium,adverse_finite_difference_change_per_100bp,finite_difference_change_as_fraction_of_current_value
0.01,1.0,dynamic,pv_hedge_management_fee_costs_aud,dynamic_pv_hedge_management_fee_costs_aud,AUD,higher_is_adverse,8007.026193975478,0.06,10032.661614281165,-2025.6354203056871,bracketing_secant,0.0025,0.06,575.0,404.6840467611336,,0.12009063842028023,404.6840467611336,0.05054111688377136
0.06,6.0,dynamic,pv_hedge_management_fee_costs_aud,dynamic_pv_hedge_management_fee_costs_aud,AUD,higher_is_adverse,10032.661614281165,0.06,10032.661614281165,0.0,bracketing_secant,0.01,0.12,1100.0,308.41728258362525,,0.09152332211202133,308.41728258362525,0.030741322137746913
0.12,12.0,dynamic,pv_hedge_management_fee_costs_aud,dynamic_pv_hedge_management_fee_costs_aud,AUD,higher_is_adverse,11399.616302395356,0.06,10032.661614281165,1366.9546881141905,backward_secant,0.06,0.12,600.0,227.82578135236508,,0.06760766516539728,227.82578135236508,0.019985390324452672
0.0025,0.25,dynamic,pv_hedge_execution_costs_aud,dynamic_pv_hedge_execution_costs_aud,AUD,higher_is_adverse,0.0,0.06,0.0,0.0,forward_secant,0.0025,0.01,75.0,0.0,,0.0,0.0,
0.01,1.0,dynamic,pv_hedge_execution_costs_aud,dynamic_pv_hedge_execution_costs_aud,AUD,higher_is_adverse,0.0,0.06,0.0,0.0,bracketing_secant,0.0025,0.06,575.0,0.0,,0.0,0.0,
0.06,6.0,dynamic,pv_hedge_execution_costs_aud,dynamic_pv_hedge_execution_costs_aud,AUD,higher_is_adverse,0.0,0.06,0.0,0.0,bracketing_secant,0.01,0.12,1100.0,0.0,,0.0,0.0,
0.12,12.0,dynamic,pv_hedge_execution_costs_aud,dynamic_pv_hedge_execution_costs_aud,AUD,higher_is_adverse,0.0,0.06,0.0,0.0,backward_secant,0.06,0.12,600.0,0.0,,0.0,0.0,
0.0025,0.25,dynamic,bel_nonunit_aud,dynamic_bel_nonunit_aud,AUD,higher_is_adverse,-57630.460865063746,0.06,6696.553575571814,-64327.01444063556,forward_secant,0.0025,0.01,75.0,11581.647076147805,,3.4368723018970773,11581.647076147805,0.20096398505757454
0.01,1.0,dynamic,bel_nonunit_aud,dynamic_bel_nonunit_aud,AUD,higher_is_adverse,-48944.225557952894,0.06,6696.553575571814,-55640.77913352471,bracketing_secant,0.0025,0.06,575.0,11187.306859240967,,3.319851211537451,11187.306859240967,0.22857255849302438
0.06,6.0,dynamic,bel_nonunit_aud,dynamic_bel_nonunit_aud,AUD,higher_is_adverse,6696.553575571814,0.06,6696.553575571814,0.0,bracketing_secant,0.01,0.12,1100.0,8041.896259309529,,2.3864455829665716,8041.896259309529,1.2009007571663963
0.12,12.0,dynamic,bel_nonunit_aud,dynamic_bel_nonunit_aud,AUD,higher_is_adverse,39516.63329445193,0.06,6696.553575571814,32820.079718880115,backward_secant,0.06,0.12,600.0,5470.013286480019,,1.6232351954524589,5470.013286480019,0.13842305961950457
0.0025,0.25,dynamic,bel_total_aud,dynamic_bel_total_aud,AUD,higher_is_adverse,279351.7153349362,0.06,343678.7297755718,-64327.01444063557,forward_secant,0.0025,0.01,75.0,11581.647076147765,,3.4368723018970653,11581.647076147765,0.04145901542885333
0.01,1.0,dynamic,bel_total_aud,dynamic_bel_total_aud,AUD,higher_is_adverse,288037.95064204704,0.06,343678.7297755718,-55640.779133524746,bracketing_secant,0.0025,0.06,575.0,11187.306859240969,,3.3198512115374514,11187.306859240969,0.03883969745758868
0.06,6.0,dynamic,bel_total_aud,dynamic_bel_total_aud,AUD,higher_is_adverse,343678.7297755718,0.06,343678.7297755718,0.0,bracketing_secant,0.01,0.12,1100.0,8041.896259309533,,2.386445582966573,8041.896259309533,0.02339945874614071
0.12,12.0,dynamic,bel_total_aud,dynamic_bel_total_aud,AUD,higher_is_adverse,376498.8094944519,0.06,343678.7297755718,32820.07971888012,backward_secant,0.06,0.12,600.0,5470.013286480022,,1.6232351954524595,5470.013286480022,0.014528633686318808
0.0025,0.25,dynamic,csm_aud,dynamic_csm_aud,AUD,lower_is_adverse,57630.46086506374,0.06,-6696.55357557183,64327.01444063557,forward_secant,0.0025,0.01,75.0,-11581.647076147805,,-3.4368723018970773,11581.647076147805,-0.20096398505757457
0.01,1.0,dynamic,csm_aud,dynamic_csm_aud,AUD,lower_is_adverse,48944.22555795289,0.06,-6696.55357557183,55640.77913352472,bracketing_secant,0.0025,0.06,575.0,-11187.306859240969,,-3.3198512115374514,11187.306859240969,-0.22857255849302446
0.06,6.0,dynamic,csm_aud,dynamic_csm_aud,AUD,lower_is_adverse,-6696.55357557183,0.06,-6696.55357557183,0.0,bracketing_secant,0.01,0.12,1100.0,-8041.896259309527,,-2.3864455829665707,8041.896259309527,-1.200900757166393
0.12,12.0,dynamic,csm_aud,dynamic_csm_aud,AUD,lower_is_adverse,-39516.633294451894,0.06,-6696.55357557183,-32820.079718880064,backward_secant,0.06,0.12,600.0,-5470.013286480011,,-1.6232351954524564,5470.013286480011,-0.1384230596195045
0.0025,0.25,dynamic,csm_pv_fee_income_aud,dynamic_csm_pv_fee_income_aud,AUD,lower_is_adverse,34051.89679274696,0.06,44250.38065769104,-10198.483864944086,forward_secant,0.0025,0.01,75.0,1764.076878916967,,0.5234926365571281,-1764.076878916967,0.051805539340549
0.01,1.0,dynamic,csm_pv_fee_income_aud,dynamic_csm_pv_fee_income_aud,AUD,lower_is_adverse,35374.95445193468,0.06,44250.38065769104,-8875.426205756361,bracketing_secant,0.0025,0.06,575.0,1773.6493678163629,,0.5263332879551755,-1773.6493678163629,0.050138562587445555
0.06,6.0,dynamic,csm_pv_fee_income_aud,dynamic_csm_pv_fee_income_aud,AUD,lower_is_adverse,44250.38065769104,0.06,44250.38065769104,0.0,bracketing_secant,0.01,0.12,1100.0,1351.5856293399677,,0.40108519820876143,-1351.5856293399677,0.03054404525455878
0.12,12.0,dynamic,csm_pv_fee_income_aud,dynamic_csm_pv_fee_income_aud,AUD,lower_is_adverse,50242.396374674325,0.06,44250.38065769104,5992.015716983282,backward_secant,0.06,0.12,600.0,998.6692861638803,,0.2963567086619937,-998.6692861638803,0.019877023355264943
0.0025,0.25,dynamic,csm_pv_other_income_aud,dynamic_csm_pv_other_income_aud,AUD,lower_is_adverse,114252.1908811774,0.06,151895.98777041095,-37643.79688923355,forward_secant,0.0025,0.01,75.0,6425.555797977664,,1.9067939647241392,-6425.555797977664,0.05624011013198215
